Pixel,R,G,B
141,70,137,32
142,71,130,33
143,68,137,29
144,82,144,32
145,73,133,30
146,82,146,30
147,60,124,29
148,79,146,30
149,70,132,34
150,83,148,29
151,79,139,32
152,71,128,42
153,98,149,59
154,68,127,32
155,55,117,22
156,66,125,26
157,57,123,23
158,54,114,22
159,64,127,20
160,149,196,85
161,101,162,46
162,70,137,32
163,95,148,46
164,89,154,40
165,80,140,35
166,77,137,33
167,88,153,37
168,69,137,30
169,95,159,39
170,82,145,39
171,94,150,52
172,98,154,53
173,121,169,78
174,81,146,41
175,85,149,40
176,83,144,41
177,80,145,37
178,65,129,32
179,59,123,30
180,70,126,36
181,65,130,32
182,70,139,31
183,64,122,31
184,85,144,40
185,82,142,37
186,89,153,35
187,72,134,31
188,91,151,41
189,73,140,30
190,79,146,31
191,87,144,43
192,101,155,63
193,73,131,37
194,59,120,28
195,69,130,29
196,72,134,28
197,68,135,23
198,60,128,21
199,65,127,23
200,110,175,47
201,89,147,36
202,97,159,41
203,86,154,34
204,73,136,33
205,78,141,35
206,85,146,39
207,85,154,32
208,85,149,41
209,99,159,44
210,83,144,35
211,89,147,46
212,88,140,54
213,118,166,85
214,97,148,63
215,105,159,64
216,76,139,33
217,84,148,38
218,65,132,32
219,71,133,36
220,90,155,47
221,75,144,33
222,75,148,30
223,76,143,31
224,73,137,34
225,80,150,33
226,80,146,38
227,76,143,31
228,72,134,35
229,74,136,35
230,84,142,44
231,99,154,58
232,86,141,48
233,73,133,35
234,68,133,29
235,65,137,25
236,68,136,26
237,70,136,27
238,62,129,24
239,71,134,27
240,92,158,35
241,88,150,40
242,82,145,32
243,94,155,37
244,91,151,37
245,80,143,38
246,90,151,38
247,73,140,29
248,100,158,47
249,95,156,40
250,88,150,40
251,86,143,51
252,76,134,39
253,88,147,46
254,108,167,70
255,84,147,41
256,75,142,34
257,73,144,33
258,76,143,37
259,85,152,40
260,88,158,36
261,68,129,33
262,79,145,35
263,89,151,43
264,87,151,38
265,82,152,34
266,67,142,32
267,74,136,34
268,68,129,33
269,69,130,37
270,77,136,44
271,91,149,53
272,77,132,40
273,71,140,29
274,68,134,29
275,74,140,31
276,75,141,30
277,64,126,26
278,79,141,29
279,80,145,29
280,63,132,25
281,69,131,32
282,73,133,32
283,89,156,35
284,73,144,29
285,84,146,38
286,78,138,34
287,69,133,28
288,77,144,38
289,73,136,36
290,80,143,35
291,69,128,35
292,96,149,52
293,98,155,56
294,90,154,43
295,97,160,44
296,76,142,36
297,85,156,36
298,73,136,34
299,88,151,43
300,87,154,38
301,74,139,35
302,74,143,31
